date,series_name,value
2022-01-03,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",439.621724973844
2022-01-04,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",438.170229389944
2022-01-05,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",443.522619355577
2022-01-06,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",433.86110187524
2022-01-07,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",436.129063725084
2022-01-10,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",438.397025574929
2022-01-11,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",438.260947863938
2022-01-12,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",451.097611934057
2022-01-13,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",452.322311332973
2022-01-14,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",449.056446269197
2022-01-17,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",438.827938326399
2022-01-18,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",440.302113528798
2022-01-19,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",444.565881806505
2022-01-20,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",450.19042719412
2022-01-21,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",452.23159285898
2022-01-24,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",444.520522569509
2022-01-25,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",441.980405297683
2022-01-26,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",452.004796673995
2022-01-27,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",447.786387633284
2022-01-28,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",438.986695655888
2022-01-31,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",436.355859910069
2022-02-01,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",440.029958106816
2022-02-02,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",448.14926152926
2022-02-03,"Cotizaciones internacionales - Cobre (Londres, cUS$ por libras)",443.840134014555
